Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,PF,21,MIA,37,2,13.5,2.3,4.0,.585,0.0,0.0,,2.3,4.0,.585,.585,1.2,2.2,.530,1.3,2.6,3.9,0.5,0.4,0.5,0.9,1.6,5.8
Jaylen Adams,PG,24,MIL,7,0,2.6,0.1,1.1,.125,0.0,0.3,.000,0.1,0.9,.167,.125,0.0,0.0,,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,0.3
Steven Adams,C,27,NOP,35,35,27.6,3.6,5.8,.624,0.0,0.1,.000,3.6,5.7,.630,.624,1.0,2.3,.444,4.1,5.1,9.2,2.0,0.9,0.6,1.5,1.9,8.2
Bam Adebayo,C,23,MIA,33,33,33.9,7.2,12.7,.563,0.1,0.2,.333,7.1,12.5,.567,.566,4.8,5.7,.847,2.2,7.3,9.5,5.4,0.9,1.0,3.0,2.4,19.2
LaMarcus Aldridge,C,35,SAS,21,18,25.9,5.5,11.8,.464,1.3,3.6,.360,4.2,8.2,.509,.518,1.5,1.8,.838,0.8,3.7,4.5,1.7,0.4,0.9,1.0,1.7,13.7
Ty-Shon Alexander,SG,22,PHO,3,0,2.7,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
Nickeil Alexander-Walker,SG,22,NOP,30,3,18.1,3.2,7.8,.410,1.1,3.5,.302,2.1,4.3,.500,.479,1.0,1.3,.816,0.2,2.4,2.6,2.0,0.9,0.3,1.2,1.7,8.5
Grayson Allen,SG,25,MEM,23,12,24.0,2.9,7.1,.409,2.0,4.9,.407,0.9,2.2,.412,.549,1.5,1.7,.895,0.3,2.5,2.8,2.2,1.0,0.1,0.9,1.3,9.3
Jarrett Allen,C,22,TOT,36,18,28.1,4.8,7.3,.662,0.1,0.2,.500,4.7,7.1,.667,.669,3.4,4.7,.738,3.1,6.7,9.8,1.7,0.5,1.7,1.5,1.6,13.2
Al-Farouq Aminu,PF,30,ORL,11,8,18.9,1.6,4.8,.340,0.5,1.8,.300,1.1,3.0,.364,.396,0.8,1.0,.818,1.0,3.4,4.4,1.5,1.0,0.5,1.1,1.0,4.6
